Código;Banco
117;Advanced Cc Ltda
172;Albatross Ccv S.A
188;Ativa Investimentos S.A
280;Avista S.A. Crédito, Financiamento e Investimento
80;B&T Cc Ltda
654;Banco A.J.Renner S.A.
246;Banco ABC Brasil S.A.
75;Banco ABN AMRO S.A
121;Banco Agibank S.A.
25;Banco Alfa S.A.
641;Banco Alvorada S.A.
65;Banco Andbank (Brasil) S.A.
213;Banco Arbi S.A.
96;Banco B3 S.A.
24;Banco BANDEPE S.A.
318;Banco BMG S.A.
752;Banco BNP Paribas Brasil S.A.
107;Banco BOCOM BBM S.A.
63;Banco Bradescard S.A.
36;Banco Bradesco BBI S.A.
122;Banco Bradesco BERJ S.A.
204;Banco Bradesco Cartões S.A.
394;Banco Bradesco Financiamentos S.A.
237;Banco Bradesco S.A.
218;Banco BS2 S.A.
208;Banco BTG Pactual S.A.
336;Banco C6 S.A – C6 Bank
473;Banco Caixa Geral – Brasil S.A.
412;Banco Capital S.A.
40;Banco Cargill S.A.
368;Banco Carrefour
;Banco Caterpillar S.A.
266;Banco Cédula S.A.
;Banco Central do Brasil
739;Banco Cetelem S.A.
233;Banco Cifra S.A.
745;Banco Citibank S.A.
241;Banco Clássico S.A.
;Banco CNH Industrial Capital S.A.
756;Banco Cooperativo do Brasil S.A. – BANCOOB
748;Banco Cooperativo Sicredi S.A.
222;Banco Credit Agricole Brasil S.A.
505;Banco Credit Suisse (Brasil) S.A.
69;Banco Crefisa S.A.
3;Banco da Amazônia S.A.
83;Banco da China Brasil S.A.
707;Banco Daycoval S.A.
51;Banco de Desenvolvimento do Espírito Santo S.A.
300;Banco de La Nacion Argentina
495;Banco de La Provincia de Buenos Aires
494;Banco de La Republica Oriental del Uruguay
;Banco de Lage Landen Brasil S.A.
335;Banco Digio S.A
1;Banco do Brasil S.A.
47;Banco do Estado de Sergipe S.A.
37;Banco do Estado do Pará S.A.
41;Banco do Estado do Rio Grande do Sul S.A.
4;Banco do Nordeste do Brasil S.A.
196;Banco Fair Corretora de Câmbio S.A
265;Banco Fator S.A.
224;Banco Fibra S.A.
626;Banco Ficsa S.A.
;Banco Fidis S.A.
94;Banco Finaxis S.A.
;Banco Ford S.A.
;Banco GMAC S.A.
612;Banco Guanabara S.A.
;Banco Honda S.A.
;Banco IBM S.A.
12;Banco Inbursa S.A.
604;Banco Industrial do Brasil S.A.
653;Banco Indusval S.A.
77;Banco Inter S.A.
249;Banco Investcred Unibanco S.A.
184;Banco Itaú BBA S.A.
29;Banco Itaú Consignado S.A.
479;Banco ItauBank S.A
;Banco Itaucard S.A.
;Banco Itauleasing S.A.
376;Banco J. P. Morgan S.A.
74;Banco J. Safra S.A.
217;Banco John Deere S.A.
76;Banco KDB S.A.
757;Banco KEB HANA do Brasil S.A.
;Banco Komatsu S.A.
;Banco Losango S.A. – Banco Múltiplo
600;Banco Luso Brasileiro S.A.
243;Banco Máxima S.A.
720;Banco Maxinvest S.A.
389;Banco Mercantil de Investimentos S.A.
;Banco Mercedes-Benz do Brasil S.A.
370;Banco Mizuho do Brasil S.A.
746;Banco Modal S.A.
;Banco Moneo S.A.
66;Banco Morgan Stanley S.A.
456;Banco MUFG Brasil S.A.
7;Banco Nacional de Desenvolvimento Econômico e Social – BNDES
169;Banco Olé Bonsucesso Consignado S.A.
111;Banco Oliveira Trust Dtvm S.A
79;Banco Original do Agronegócio S.A.
212;Banco Original S.A.
712;Banco Ourinvest S.A.
623;Banco PAN S.A.
611;Banco Paulista S.A.
643;Banco Pine S.A.
658;Banco Porto Real de Investimentos S.A.
;Banco PSA Finance Brasil S.A.
747;Banco Rabobank International Brasil S.A.
;Banco Randon S.A.
;Banco RCI Brasil S.A.
633;Banco Rendimento S.A.
741;Banco Ribeirão Preto S.A.
120;Banco Rodobens S.A.
422;Banco Safra S.A.
